"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Translation and Language Contact in Literature (TLCL)",project,2023-09-25,2030-11-29,0,0,0,,,,,
1.1,"WP1: Translation studies and original writing",group,2023-12-01,2027-01-04,0,0,0,,,,,
1.1.1,"Article on unit of translation",task,2024-03-01,2024-07-31,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.1.2,"Article on translationality",task,2024-02-01,2024-12-04,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.1.3,"Article on Dostoevsky",task,2024-12-03,2025-12-03,0,0,0,"Eugenia Kelbert Rudan",1.3.1,,,purple1
1.1.4,"Article on linguistic relativity and translation",task,2023-12-01,2024-03-29,0,0,0,"Eugenia Kelbert Rudan",,,,blue2
1.1.5,"Proposal for co-edited book on Pevear and Volokhonsky",task,2024-06-03,2024-09-02,0,0,0,"Eugenia Kelbert Rudan",,,,blue2
1.1.6,"Co-edited book on Pevear and Volokhonsky",task,2025-07-01,2027-01-04,0,0,0,"Eugenia Kelbert Rudan",1.1.5,,,blue2
1.2,"WP2: Language contact and cross-lingual stylistic transfer",group,2023-09-25,2030-11-29,0,0,0,,,,,
1.2.1,"Submit proposal for Multilingual Anthology",task,2024-05-02,2024-11-01,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.2.2,"Edited volume on language contact in literature",task,2026-10-06,2028-04-24,0,0,0,"Research Associates 1&2","1.2.5,1.2.7",,,blue2
1.2.3,"Two case studies on language contact",task,2023-09-25,2026-09-23,0,0,0,"Research Associates 1&2",,,,blue2
1.2.4,"Monograph - submit proposal",task,2027-07-14,2027-11-30,0,0,0,"Eugenia Kelbert Rudan","1.1.1,1.1.2,1.1.3,1.3.1",,,purple1
1.2.5,"Organise conference at host institution",task,2026-02-04,2026-12-07,0,0,0,"Research Associates 1&2",,,,blue2
1.2.6,"Monograph - prepare full draft for submission",task,2028-01-03,2030-11-29,0,0,0,"Eugenia Kelbert Rudan",1.2.4,,,purple1
1.2.7,"Proposal for a Routledge series on language contact & inaugural edited volume",task,2026-05-01,2026-12-04,0,0,0,"Eugenia Kelbert Rudan",,,,blue2
1.3,"WP3: Stylometry",group,2024-02-01,2030-11-01,0,0,0,,,,,
1.3.1,"Create corpora (Dostoevsky, Nabokov, modernism)",task,2024-10-01,2025-09-02,0,0,0,"Research Associate (DH), Eugenia Kelbert Rudan",,,,blue2
1.3.2,"Develop Bukvik and LitTerra and use for research in project",task,2024-02-01,2030-11-01,0,0,0,"Research Associate (DH)",,,,blue2
1.3.3,"Integrate existing software with Bukvik and reproduce results where possible",task,2024-03-01,2030-04-01,0,0,0,"Research Associate (DH)",,,,blue2
1.4,"WP4: Prototyping real-world applications",group,2024-04-01,2030-11-29,0,0,0,,,,,
1.4.1,"Develop workshop on writing in a second language",task,2024-12-03,2025-11-03,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.4.2,"Conduct 2+ workshops",task,2025-12-03,2026-11-03,0,0,0,"Eugenia Kelbert Rudan",1.4.1,,,purple1
1.4.3,"Make selected components of Bukvik and LitTerra available to researchers / public",task,2028-02-01,2030-11-29,0,0,0,"Research Associate (DH)",1.3.2,,,blue2
1.4.4,"Develop and conduct workshops on influence and multilingualism",task,2026-11-02,2027-07-01,0,0,0,"Eugenia Kelbert Rudan",1.4.2,,,blue2
1.4.5,"Apply to the New Generation Thinkers scheme",task,2024-04-01,2024-09-05,0,0,0,"Eugenia Kelbert Rudan",,,,blue2
1.5,Other,group,2024-01-01,2030-11-29,0,0,0,,,,,
1.5.1,"Hiring process for team members",task,2024-01-01,2024-04-10,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.5.2,"Training research stays in Utrecht and Frankfurt am Main ",task,2024-02-01,2024-07-31,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.5.3,"Organise a new ICLA Research Committee on LCL",task,2024-05-01,2030-11-29,0,0,0,"Eugenia Kelbert Rudan",,,,purple1
1.5.4,"Liaise with the UEA Ethics team ",task,2024-02-01,2024-04-01,0,0,0,"Eugenia Kelbert Rudan",,,,blue2
